"Mturk_id","Condition","decay_value","SyncRate_Value"
"A0017268R9SKD8","NS",0.26,0.84
"A109MLAWERUIBG","1-Sided-psse",1.15,0.78
"A10BH9PYCYUKDJ","1-Sided-CogSig",0.23,0.78
"A10BH9PYCYUKDJ","2-Sided-pesse_FI",2.57,0.74
"A10F0OVV7A0U74","NS-ER",2.99,0.72
"A10JXOU89D5RXR","2-Sided-LR",2.88,0.72
"A10O5YR01H865K","1-Sided-CogSig",0.21,0.8
"A10TWCI2VE0LWJ","1-Sided-psse_FI",2.5,0.8
"A10VYQMVSHNFCV","1-Sided-psse",0.45,0.58
"A10YS8AVLQWUZZ","NS",0.25,0.9
"A110JYKWR9T6H8","1-Sided-psse_FI",2.13,0.82
"A110KENBXU7SUJ","2-Sided-pesse_FI",0.99,0.84
"A114INA2S32A8L","1-Sided-psse_FI",0.2,0.72
"A114JRUBJ5IN7D","2-Sided-pesse_FI",2.76,0.78
"A11BSFO4LMHPXQ","1-Sided-DT_FI",2.29,0.68
"A11EF6L798V32H","1-Sided-DT_FI",2.82,0.84
"A11FFJZ0C984W4","1-Sided-CogSig",1.96,0.86
"A11S8IAAVDXCUS","1-Sided-psse_FI",0.14,0.66
"A11UBOE8N877JJ","2-Sided-LR",2.6,0.86
"A12723JDRPT207","1-Sided-ER_FI",1.9,0.86
"A12A5GVJX5RZC4","1-Sided-psse_FI",0.92,0.72
"A12AVKFXNKBMSX","1-Sided-psse",0.24,0.5
"A12AVKFXNKBMSX","NS",0.46,0.68
"A12BTFPKFKKD2I","NS",0.39,0.9
"A12DY4HHG6MYF0","2-SidedDT",0.84,0.74
"A12GJUCS7AJ4K","1-Sided-psse",0.32,0.74
"A12HZGOZQD5YK7","NS",0.3,0.84
"A12IHTKQFQIPD1","2-Sided-LR",1.93,0.92
"A12R2U6TBB3OOG","1-Sided-psse_FI",2.68,0.82
"A12VDN3TJJCAQQ","2-Sided-NN",2.64,0.76
"A138BU1VWM2RKN","1-Sided-DT_FI",2.99,0.66
"A13GGKMPBDKWX6","1-Sided-ER_FI",1.22,0.58
"A13GGKMPBDKWX6","2-Sided-LR",2.48,0.64
"A13V6ZYVF3A7EW","1-Sided-CogSig",1.21,0.82
"A142ZRU284W9O","1-Sided-DT_FI",1.59,0.8
"A149ROBL26JWPJ","1-Sided-ER_FI",1.91,0.88
"A149ROBL26JWPJ","1-Sided-psse",2.6,0.8
"A149ROBL26JWPJ","2-Sided-NN",2.26,0.76
"A14BO0JIQTNMOW","1-Sided-CogSig",1.47,0.74
"A14GU4D1F5W031","1-Sided-CogSig",2.53,0.76
"A14HW8I4RYHNC4","1-Sided-psse_FI",0.28,0.78
"A14HW8I4RYHNC4","2-Sided-pesse_FI",0.53,0.7
"A14WLAP6TCEKO0","1-Sided-ER_FI",2.42,0.82
"A14WLAP6TCEKO0","1-Sided-psse",0.12,0.76
"A14WLAP6TCEKO0","2-SidedDT",0.66,0.82
"A153FVJRRM27G7","NS",0.15,0.64
"A1561P9VVA3C1C","2-SidedDT",1.67,0.8
"A15781PHGW377Y","1-Sided-psse",0.42,0.76
"A15A984KE7R40O","1-Sided-ER_FI",2.91,0.76
"A15RSC70TW7ZKW","NS",0.22,0.74
"A15SUPIZ05ZFCD","2-Sided-LR",2.06,0.84
"A15VRRHQCLJHC8","1-Sided-psse",2.06,0.64
"A1601UNFFAAQOI","1-Sided-psse_FI",2.87,0.66
"A16335MOISDG1F","2-Sided-LR",2.23,0.76
"A16G6PPH1INQL8","1-Sided-psse",1.28,0.86
"A16G6PPH1INQL8","2-Sided-LR",2.97,0.8
"A16OTH6EQHJFA","1-Sided-psse",1.34,0.74
"A16SJ5D3DKUEXJ","2-SidedDT",2.11,0.64
"A16UAN46CNIRHY","NS",2.22,0.78
"A16VVUOYE2BK22","NS-ER",0.43,0.84
"A1761MS0XW2OHR","2-Sided-LR",2.76,0.8
"A1790ZUAAUYCJ","NS-ER",2.44,0.78
"A17OINLIDZ0C14","1-Sided-DT_FI",1.55,0.68
"A17PAE30BGBO1T","1-Sided-psse",2.69,0.78
"A17WT0K0HFTW9U","1-Sided-DT_FI",0.34,0.9
"A18E16UFE351U6","1-Sided-ER_FI",1.73,0.78
"A18G2CLYSTENK","1-Sided-psse",2.24,0.6
"A18WCPDCDP4IAS","1-Sided-psse_FI",1.36,0.82
"A18XFOKU5G1OL1","1-Sided-psse_FI",2.99,0.66
"A191V7PT3DQKDP","2-Sided-pesse_FI",1.03,0.7
"A1967FI5GJEZN8","NS",0.47,0.72
"A196XR61DIW5GU","1-Sided-ER_FI",2.96,0.62
"A196XR61DIW5GU","2-Sided-NN",2.84,0.64
"A196XR61DIW5GU","2-SidedDT",2.74,0.72
"A19CB2C4GY4C60","1-Sided-ER_FI",1.36,0.8
"A19L8SNH73AX1Z","1-Sided-ER_FI",2.65,0.86
"A19RLE2G1PL9NL","1-Sided-ER_FI",2.21,0.74
"A19UBZFVUWL1ES","1-Sided-psse_FI",0.11,0.62
"A19UBZFVUWL1ES","2-SidedDT",2.29,0.72
"A19WFIR31Z74EN","1-Sided-CogSig",2.92,0.76
"A19WVP0XFVDSF4","1-Sided-CogSig",1.56,0.74
"A19ZWBQT8A3LIR","2-Sided-NN",2.99,0.74
"A1A1A9UHNQCI9Y","1-Sided-ER_FI",2.92,0.78
"A1A7KL0CEERE60","1-Sided-psse",2.33,0.86
"A1A7KL0CEERE60","NS-ER",2.09,0.84
"A1AJPTSML2X7B","NS-ER",2.55,0.86
"A1AKL5YH9NLD2V","2-Sided-pesse_FI",0.12,0.82
"A1APYLD4DUK33J","1-Sided-DT_FI",2.94,0.94
"A1AQ8ON8X7BYFH","2-Sided-LR",0.49,0.88
"A1AREBIHWPXTU3","NS-ER",2.42,0.74
"A1AZLJ3R5FQ9B7","2-Sided-pesse_FI",1.66,0.64
"A1B76WYZ47BQJ","2-SidedDT",0.15,0.8
"A1BSA7FVVJGZ15","NS",0.16,0.8
"A1BSL1VC7PQR04","2-SidedDT",2.03,0.62
"A1BVG13MHBM1YD","2-Sided-LR",1.88,0.86
"A1C0H8G0YI15MN","2-SidedDT",2.92,0.62
"A1C59M3HPCO503","1-Sided-psse",1.35,0.76
"A1C7UV2UT2S9T7","NS-ER",2.75,0.7
"A1CE2XPYCDRHVZ","2-Sided-NN",1.94,0.7
"A1CH3TODZNQCES","NS",0.32,0.76
"A1CUDX7TTS2W61","1-Sided-DT_FI",0.69,0.66
"A1CX684F5TEO5W","NS",0.11,0.82
"A1D0JL4MJ7XSGV","1-Sided-psse_FI",0.43,0.68
"A1DABMXVWWL0TR","2-Sided-LR",2.67,0.7
"A1DD23J1WBGQUU","2-SidedDT",2.72,0.74
"A1DDBGQDMZZ1VW","1-Sided-DT_FI",0.13,0.76
"A1DIGREVLNOXT3","1-Sided-DT_FI",0.24,0.7
"A1DIGREVLNOXT3","1-Sided-psse_FI",1.74,0.46
"A1DIW2K1J89CMO","1-Sided-psse",2.39,0.62
"A1DKVUTOBPQH11","1-Sided-DT_FI",2.16,0.84
"A1DNJ17PE2RYJZ","2-Sided-LR",0.46,0.88
"A1DS5O8MSI3ZH0","2-Sided-LR",0.24,0.82
"A1DUPOUC9RNU4L","NS-ER",0.93,0.64
"A1DY3EW6Q0B5K5","2-Sided-LR",0.12,0.8
"A1DZMZTXWOM9MR","2-Sided-NN",2.32,0.64
"A1E4K9G6ZKPKX4","NS-ER",1.19,0.76
"A1E8X6IHTIN1AT","2-Sided-NN",2.96,0.74
"A1E94U14N16SYJ","1-Sided-psse",0.88,0.78
"A1EBVJWBNNPUFU","1-Sided-psse_FI",0.25,0.82
"A1EDMN0J522ATZ","1-Sided-CogSig",0.1,0.66
"A1EH9BPKYXFBS5","1-Sided-ER_FI",2.22,0.74
"A1EITLFAMKA61U","2-Sided-NN",3,0.36
"A1EITLFAMKA61U","NS-ER",2.91,0.74
"A1ERMRNNR0CZ2Y","2-SidedDT",1.75,0.68
"A1F1BIPJR11LSR","2-SidedDT",1.68,0.8
"A1F1OZ54G177D8","2-SidedDT",0.21,0.7
"A1F1OZ54G177D8","NS",0.93,0.82
"A1F1OZ54G177D8","NS-ER",2.88,0.72
